credit,default,AGE,MARRIAGE,EDUCATION_graduate school,PAY_2,BILL_AMT5,PAY_AMT6
20000,1,24,1,0,2,0,0
120000,1,26,2,0,2,3455,2000
90000,0,34,2,0,0,14948,5000
50000,0,37,1,0,0,28959,1000
50000,0,57,1,0,0,19146,679
50000,0,37,2,1,0,19619,800
500000,0,29,2,1,0,483003,13770
100000,0,23,2,0,-1,-159,1542
140000,0,28,1,0,0,11793,1000
20000,0,35,2,0,-2,13007,0
200000,0,34,2,0,0,1828,66
260000,0,51,2,1,-1,22287,3640
630000,0,41,2,0,0,6500,0
70000,1,30,2,0,2,36137,0
250000,0,29,2,1,0,56875,3000
50000,0,23,3,0,2,29531,1100
20000,1,24,2,1,0,17905,0
320000,0,49,1,1,0,5856,50000
360000,0,49,1,1,-2,0,0
180000,0,29,2,1,-2,0,0
130000,0,39,2,0,0,11802,33764
120000,1,39,1,0,-1,632,0
70000,1,26,2,0,0,46905,1820
450000,1,40,1,1,-2,0,1128
90000,0,23,2,1,0,6360,2000
50000,0,23,2,0,0,29829,997
60000,1,27,2,1,-2,127,1000
50000,0,30,2,0,0,18931,1012
50000,0,47,1,0,-1,30430,0
50000,0,26,2,1,0,18375,0
230000,0,27,2,1,-1,14307,0
50000,1,33,2,0,0,23217,716
100000,0,32,2,1,0,78703,2504
500000,0,54,1,0,-2,71439,51582
500000,0,58,1,1,-2,0,768
160000,0,30,2,1,-1,-1488,0
280000,0,40,1,0,0,173901,6737
60000,0,22,2,0,0,-28335,617
50000,1,25,2,1,-1,0,0
280000,0,31,2,1,-1,17976,781
360000,0,33,2,1,0,195969,4000
70000,0,25,2,1,0,64718,2500
10000,0,22,2,0,0,3670,500
140000,0,37,1,0,0,67079,3000
40000,0,30,2,1,0,26636,0
210000,1,29,2,1,-2,0,0
20000,1,22,2,1,0,16675,0
150000,1,46,2,0,0,0,0
380000,0,32,2,0,-1,11849,8251
20000,0,24,2,1,0,20480,1069
70000,1,42,2,0,2,38659,1500
100000,0,43,3,0,0,35762,1000
310000,0,49,1,0,-2,3544,0
180000,0,25,2,1,2,44420,1622
150000,0,29,2,1,0,21042,5000
500000,0,45,1,1,-2,151,0
180000,0,34,1,0,0,-679,2000
180000,0,34,1,0,0,132202,3800
200000,0,34,2,1,3,700,0
400000,0,29,1,0,0,356656,23000
500000,1,28,1,0,0,13827,2000
70000,0,39,1,0,0,14096,0
50000,1,29,2,1,2,27667,0
50000,1,46,1,0,0,0,0
130000,0,51,1,0,-1,2353,0
200000,1,57,1,1,-2,8198,1000
10000,1,56,1,0,2,4196,160
210000,0,30,2,1,-1,300,909
130000,0,29,2,0,-2,10161,13899
20000,0,22,2,0,0,11205,0
80000,0,31,2,1,-1,390,390
320000,1,29,2,0,2,62307,1600
200000,0,32,1,0,-1,3848,1395
290000,0,37,2,1,-2,2359,0
340000,0,32,2,1,-1,80153,2016
20000,0,24,2,0,0,17332,0
50000,0,25,2,0,0,9590,1000
300000,0,45,1,1,-1,291,291
30000,1,22,2,0,0,26446,0
240000,1,44,2,0,-2,0,0
470000,0,33,3,0,0,29271,3000
360000,0,26,2,1,0,180000,2963
60000,1,30,2,0,0,19899,0
400000,0,44,1,0,0,104990,2800
50000,0,49,2,0,0,19342,826
160000,0,33,2,0,0,118407,4500
360000,1,45,1,1,-1,390,390
160000,0,32,2,0,0,7072,2303
130000,0,35,1,1,0,7095,2090
20000,0,44,2,0,2,12314,1500
200000,1,53,1,1,2,147124,5000
280000,0,39,2,1,-1,0,0
100000,0,27,2,1,-2,0,0
160000,0,37,1,0,-1,0,7736
60000,0,23,2,0,0,19209,835
90000,0,35,2,0,0,30942,1143
360000,0,43,1,1,-1,26370,68978
150000,0,27,2,1,0,87725,800
50000,0,22,1,0,0,8866,197
20000,1,38,1,0,0,17928,0
140000,0,32,2,1,-2,100,0
380000,0,30,2,1,-2,33564,5000
480000,0,63,1,1,0,471145,24200
50000,1,22,2,0,0,23477,904
60000,0,26,2,0,2,55447,3000
70000,0,24,2,0,-1,0,2000
80000,0,36,1,0,-1,1150,1035
350000,0,52,2,1,-1,1150,5011
130000,0,38,2,0,0,44127,4796
360000,0,35,1,0,-2,-103,0
330000,0,31,1,1,0,106491,0
50000,0,47,1,0,0,16671,1000
280000,0,41,1,0,2,152174,5000
100000,0,24,2,1,0,60100,2033
50000,0,41,2,0,0,20311,684
30000,1,24,2,1,2,20692,1000
240000,0,28,2,1,-1,476,526
80000,1,26,2,0,0,17629,1000
400000,0,34,1,0,-1,14837,5712
240000,0,38,2,0,0,1307,563
50000,1,37,2,0,2,49318,0
450000,1,40,1,1,-2,0,0
110000,0,48,1,1,-2,0,0
310000,1,35,1,0,0,246491,5987
20000,0,27,2,1,0,19717,0
20000,0,23,2,0,-2,0,0
200000,0,52,2,0,0,103146,3784
180000,1,36,1,1,0,97753,1000
50000,1,51,1,0,0,6375,134
60000,0,55,1,0,2,29510,1500
30000,0,23,2,1,-2,13744,3024
240000,0,41,2,1,-1,360,924
420000,0,34,1,0,0,210606,11326
330000,0,46,1,0,0,227775,8200
30000,0,22,2,0,0,17603,1560
240000,0,34,1,0,0,14158,327
150000,0,27,2,1,0,27200,5000
210000,0,33,1,0,0,4404,546
50000,1,51,1,0,-1,0,0
50000,0,24,2,1,0,19375,2130
240000,1,47,2,1,-2,0,0
180000,0,28,2,0,-1,416,832
50000,0,23,2,0,2,19879,600
170000,0,29,2,0,-2,9983,10000
20000,0,29,2,1,-1,6702,330
50000,0,28,2,1,0,10624,0
170000,1,27,2,0,0,17918,0
200000,0,34,2,1,2,132233,8500
80000,0,23,1,0,2,10123,1
260000,0,60,1,1,-2,969,0
140000,0,32,1,0,0,58319,2602
80000,0,25,2,1,0,41951,14000
350000,0,41,2,1,-1,0,0
280000,0,56,1,0,0,177145,6321
30000,0,26,2,0,0,13084,1500
140000,0,34,1,1,0,47086,5504
200000,0,37,2,1,0,92505,5000
200000,0,30,2,0,0,146975,4500
210000,1,45,1,0,3,145533,10478
50000,0,57,1,0,2,13711,600
30000,0,41,2,1,2,27579,1250
50000,0,27,2,0,-1,1080,390
290000,0,47,1,0,-1,396,369
250000,0,34,1,1,0,155997,3920
60000,0,46,1,0,0,26655,1500
110000,0,27,2,1,0,76058,2800
370000,0,50,2,1,-2,4792,4699
100000,0,27,1,0,2,22979,50000
90000,0,35,1,0,0,85852,0
50000,0,22,2,0,0,28318,567
270000,0,37,2,0,0,26344,2000
300000,0,30,2,1,-1,2672,746
50000,0,22,2,0,0,3115,10000
50000,1,24,2,1,-2,-3272,0
360000,0,29,2,1,-2,0,0
130000,1,56,1,0,2,72796,0
80000,0,30,2,1,-1,1919,0
50000,0,30,2,0,2,22877,2000
20000,0,22,2,0,0,14034,1000
80000,0,29,1,0,0,10662,0
240000,0,37,2,1,-1,26279,65935
80000,0,35,2,0,-1,17770,2000
500000,0,47,1,1,0,108834,20000
60000,1,24,1,0,0,19323,2000
20000,0,25,2,0,0,1615,0
100000,1,38,1,0,2,15868,1500
360000,0,32,2,1,-1,13881,38313
200000,1,47,2,0,2,200162,6836
130000,0,34,1,0,-1,13864,2000
20000,0,31,2,0,5,20219,0
310000,0,32,2,1,0,60387,4223
60000,1,27,2,1,0,22499,846
180000,0,29,2,1,-1,17227,5114
180000,0,24,2,1,-1,0,0
50000,0,36,1,0,0,72,20011
50000,1,24,2,1,2,39228,0
150000,0,34,1,0,-2,0,0
20000,0,22,2,1,0,18868,1000
500000,0,34,1,1,-2,1206,15816
